age,policy_number,policy_start_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,gender,insured_education_level,insured_occupation,,insured_relationship,,incident_date,incident_type,collision_type,incident_severity,incident_state,incident_city,number_of_vehicles_involved,property_damage,total_claim_amount,injury_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
39,143972,02/08/1992,IN,500/1000,2000,1475.73,0,FEMALE,High School,handlers-cleaners,,own-child,,22/02/2015,Multi-vehicle Collision,Side Collision,Major Damage,VA,Columbus,3,?,60400,6040,48320,Nissan,Pathfinder,2014,N
62,183430,25/06/2002,IN,250/500,1000,1187.96,4000000,MALE,JD,other-service,,own-child,,01/01/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Columbus,3,NO,47160,0,41920,Suburu,Impreza,2011,N
41,431876,27/11/2005,IL,500/1000,2000,875.15,0,FEMALE,Associate,machine-op-inspct,,own-child,,10/02/2015,Multi-vehicle Collision,Side Collision,Total Loss,SC,Arlington,3,?,37840,0,33110,Accura,RSX,1996,N
55,285496,27/05/1994,IL,100/300,2000,972.18,0,MALE,High School,prof-specialty,,other-relative,,11/01/2015,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Hillsdale,3,NO,71520,17880,47680,Suburu,Forrestor,2000,Y
55,115399,08/02/1991,IN,100/300,2000,1268.79,0,MALE,MD,priv-house-serv,,own-child,,19/01/2015,Single Vehicle Collision,Front Collision,Total Loss,WV,Northbend,1,?,98160,8180,73620,Dodge,RAM,2011,Y
40,736882,02/02/1996,IN,100/300,1000,883.31,0,MALE,College,craft-repair,,husband,,24/02/2015,Single Vehicle Collision,Rear Collision,Minor Damage,VA,Riverwood,1,NO,77880,7080,56640,Ford,Escape,2005,N
35,699044,05/12/2013,OH,100/300,2000,1266.92,0,MALE,Masters,sales,,own-child,,09/01/2015,Multi-vehicle Collision,Rear Collision,Major Damage,OH,Arlington,3,NO,71500,16500,44000,Ford,Escape,2006,Y
43,863236,20/09/1990,IN,100/300,2000,1322.1,0,MALE,High School,prof-specialty,,own-child,,28/01/2015,Parked Car,?,Minor Damage,PA,Arlington,1,YES,9020,1640,6560,Toyota,Camry,2005,N
34,608513,18/07/2002,IN,100/300,500,848.07,3000000,MALE,JD,exec-managerial,,not-in-family,,07/01/2015,Vehicle Theft,?,Minor Damage,VA,Northbrook,1,YES,5720,1040,4160,Suburu,Forrestor,2003,Y
40,914088,08/02/1990,OH,100/300,2000,1291.7,0,FEMALE,JD,sales,,not-in-family,,08/01/2015,Single Vehicle Collision,Side Collision,Minor Damage,SC,Northbend,1,NO,69840,7760,46560,Dodge,Neon,2009,N
45,596785,04/03/2014,IL,500/1000,2000,1104.5,0,FEMALE,PhD,machine-op-inspct,,unmarried,,15/02/2015,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Northbrook,1,NO,91650,14100,63450,Accura,TL,2011,N
25,908616,18/02/2000,IL,250/500,1000,954.16,0,MALE,Masters,prof-specialty,,husband,,18/01/2015,Multi-vehicle Collision,Side Collision,Major Damage,SC,Columbus,4,NO,75600,12600,50400,Toyota,Corolla,2005,N
37,666333,19/06/2008,IL,100/300,2000,1337.28,8000000,MALE,JD,craft-repair,,husband,,28/02/2015,Multi-vehicle Collision,Side Collision,Major Damage,WV,Riverwood,3,NO,67140,7460,52220,Ford,F150,2006,Y
35,336614,01/08/2003,IL,500/1000,1000,1088.34,0,FEMALE,Associate,adm-clerical,,other-relative,,24/02/2015,Multi-vehicle Collision,Front Collision,Total Loss,NY,Arlington,3,YES,29790,3310,23170,BMW,3 Series,2008,N
30,584859,04/04/1992,IL,100/300,1000,1558.29,0,MALE,High School,farming-fishing,,wife,,09/01/2015,Multi-vehicle Collision,Front Collision,Major Damage,NY,Hillsdale,3,NO,77110,14020,49070,Suburu,Impreza,2015,N
37,990493,13/01/1991,IL,500/1000,500,1415.68,0,MALE,PhD,prof-specialty,,own-child,,12/02/2015,Single Vehicle Collision,Side Collision,Total Loss,WV,Hillsdale,1,YES,64800,10800,48600,Audi,A3,1999,N
33,129872,08/08/2010,OH,100/300,1000,1334.15,6000000,MALE,High School,craft-repair,,not-in-family,,24/01/2015,Single Vehicle Collision,Front Collision,Major Damage,WV,Springfield,1,YES,53100,10620,37170,Mercedes,C300,1995,Y
28,200152,09/03/2003,IL,100/300,1000,988.45,0,FEMALE,Masters,protective-serv,,unmarried,,09/01/2015,Single Vehicle Collision,Rear Collision,Total Loss,NY,Northbrook,1,?,60200,6020,48160,Suburu,Forrestor,2004,Y
49,933293,03/02/1993,IL,500/1000,2000,1222.48,0,FEMALE,JD,priv-house-serv,,unmarried,,18/01/2015,Parked Car,?,Minor Damage,WV,Arlington,1,NO,5330,1230,3280,Suburu,Legacy,2001,N
54,485664,25/11/2002,IN,500/1000,2000,1155.55,0,FEMALE,MD,craft-repair,,unmarried,,21/01/2015,Multi-vehicle Collision,Rear Collision,Major Damage,NY,Hillsdale,3,?,62300,12460,43610,Jeep,Wrangler,2007,N
37,982871,27/07/1997,IN,250/500,500,1262.08,0,MALE,JD,tech-support,,wife,,08/01/2015,Single Vehicle Collision,Front Collision,Major Damage,NC,Columbus,1,?,60170,10940,38290,Nissan,Pathfinder,2011,Y
26,206213,08/05/1995,IL,100/300,500,1451.62,0,MALE,Associate,tech-support,,not-in-family,,03/01/2015,Single Vehicle Collision,Rear Collision,Minor Damage,WV,Columbus,1,NO,40000,8000,28000,BMW,M5,2010,N
34,616337,30/08/2012,IN,250/500,500,1737.66,0,MALE,Associate,transport-moving,,unmarried,,01/01/2015,Single Vehicle Collision,Side Collision,Major Damage,WV,Northbrook,1,?,97080,16180,64720,BMW,X5,2001,Y
23,448961,30/04/2006,IL,500/1000,500,1475.93,0,FEMALE,College,prof-specialty,,husband,,16/01/2015,Multi-vehicle Collision,Side Collision,Minor Damage,SC,Springfield,3,YES,51660,5740,40180,Dodge,RAM,2010,N
30,790442,13/04/2003,OH,250/500,500,538.17,0,FEMALE,PhD,transport-moving,,own-child,,10/02/2015,Single Vehicle Collision,Rear Collision,Total Loss,NC,Arlington,1,NO,51120,5680,39760,Mercedes,E400,2005,N
44,108844,05/12/2007,IL,100/300,2000,1081.08,0,MALE,JD,priv-house-serv,,unmarried,,14/02/2015,Single Vehicle Collision,Front Collision,Minor Damage,SC,Springfield,1,YES,56400,11280,33840,Toyota,Highlander,2014,N
40,430029,21/08/2006,IL,250/500,1000,1454.43,0,FEMALE,MD,protective-serv,,husband,,21/02/2015,Multi-vehicle Collision,Rear Collision,Total Loss,NY,Arlington,3,NO,55120,6890,48230,Accura,MDX,2002,N
33,529112,08/01/1990,IN,100/300,500,1240.47,0,FEMALE,Associate,other-service,,husband,,18/02/2015,Multi-vehicle Collision,Rear Collision,Total Loss,NC,Northbend,3,YES,77110,0,63090,Honda,Civic,2014,N
47,939631,18/03/1990,OH,500/1000,2000,1273.7,4000000,MALE,College,other-service,,husband,,10/01/2015,Multi-vehicle Collision,Front Collision,Major Damage,WV,Arlington,3,NO,62800,6280,50240,Audi,A3,2003,Y
34,866931,07/01/2008,IN,500/1000,1000,1123.87,8000000,FEMALE,PhD,protective-serv,,other-relative,,26/02/2015,Vehicle Theft,?,Trivial Damage,NY,Arlington,1,?,7290,810,5670,Volkswagen,Passat,1995,N
35,582011,10/03/1997,IL,100/300,1000,1245.89,0,FEMALE,Masters,exec-managerial,,wife,,01/01/2015,Single Vehicle Collision,Rear Collision,Total Loss,WV,Springfield,1,NO,76600,15320,53620,Mercedes,C300,2000,N
59,691189,10/01/2004,OH,250/500,2000,1326.62,7000000,MALE,MD,other-service,,own-child,,03/01/2015,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Riverwood,3,?,81800,16360,57260,Nissan,Pathfinder,1998,N
27,537546,20/08/1994,IL,100/300,2000,1073.83,0,FEMALE,JD,farming-fishing,,husband,,17/01/2015,Vehicle Theft,?,Trivial Damage,NY,Arlington,1,?,7260,1320,5280,BMW,M5,2008,N
39,394975,02/06/2002,IN,100/300,1000,1530.52,0,MALE,College,armed-forces,,not-in-family,,22/02/2015,Vehicle Theft,?,Minor Damage,WV,Northbend,1,?,4300,430,3440,Toyota,Corolla,2000,N
40,729634,28/04/1994,IN,100/300,500,1201.41,0,FEMALE,JD,priv-house-serv,,husband,,27/01/2015,Multi-vehicle Collision,Side Collision,Major Damage,NC,Columbus,3,YES,70510,12820,44870,Suburu,Forrestor,1999,N
39,282195,17/08/2014,OH,250/500,1000,1393.57,0,MALE,PhD,machine-op-inspct,,not-in-family,,27/02/2015,Parked Car,?,Minor Damage,VA,Northbend,1,NO,2640,480,1680,Ford,F150,2009,N
26,420810,11/08/2007,OH,100/300,1000,1276.57,0,MALE,PhD,craft-repair,,not-in-family,,06/01/2015,Single Vehicle Collision,Rear Collision,Minor Damage,NY,Arlington,1,YES,78900,15780,55230,Chevrolet,Silverado,1995,N
56,524836,20/11/2008,IN,250/500,500,1082.49,0,FEMALE,PhD,prof-specialty,,unmarried,,28/02/2015,Multi-vehicle Collision,Front Collision,Major Damage,SC,Columbus,3,?,56430,0,50160,Honda,CRV,2014,N
32,307195,18/10/1995,IN,500/1000,1000,1414.74,0,FEMALE,Masters,adm-clerical,,own-child,,22/02/2015,Parked Car,?,Minor Damage,VA,Riverwood,1,NO,2400,300,1800,Chevrolet,Silverado,2014,N
39,623648,19/05/1993,IL,250/500,2000,1470.06,0,MALE,PhD,other-service,,husband,,07/01/2015,Single Vehicle Collision,Front Collision,Total Loss,WV,Riverwood,1,YES,65790,7310,51170,Saab,93,2007,N
36,485372,26/02/2005,OH,250/500,2000,870.63,0,FEMALE,MD,adm-clerical,,own-child,,06/01/2015,Multi-vehicle Collision,Side Collision,Minor Damage,VA,Hillsdale,3,NO,62920,11440,45760,Ford,Escape,2000,N
34,598554,14/02/1990,IN,100/300,500,795.23,0,MALE,PhD,machine-op-inspct,,other-relative,,10/01/2015,Multi-vehicle Collision,Rear Collision,Major Damage,NY,Springfield,3,YES,69480,15440,54040,Nissan,Maxima,2014,Y
44,303987,30/09/1993,IL,500/1000,1000,1168.2,0,MALE,JD,handlers-cleaners,,husband,,11/02/2015,Multi-vehicle Collision,Side Collision,Total Loss,OH,Springfield,3,NO,44280,7380,33210,Honda,Accord,1997,N
32,343161,10/06/2014,IL,500/1000,1000,993.51,0,MALE,High School,armed-forces,,unmarried,,12/01/2015,Single Vehicle Collision,Side Collision,Minor Damage,WV,Hillsdale,1,NO,56300,5630,39410,BMW,M5,2011,N
42,519312,28/10/2008,OH,500/1000,500,1848.81,0,MALE,JD,transport-moving,,own-child,,06/02/2015,Multi-vehicle Collision,Front Collision,Major Damage,WV,Northbend,3,YES,68520,11420,51390,Suburu,Legacy,2003,Y
42,132902,24/04/2007,OH,250/500,2000,1641.73,5000000,MALE,PhD,sales,,not-in-family,,20/01/2015,Multi-vehicle Collision,Rear Collision,Total Loss,VA,Riverwood,3,NO,59130,6570,45990,Ford,Escape,2006,Y
39,332867,13/12/1993,IN,100/300,500,1362.87,0,FEMALE,MD,exec-managerial,,other-relative,,22/02/2015,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Arlington,3,YES,82320,13720,61740,Dodge,Neon,1995,Y
31,356590,17/08/2011,IN,250/500,500,1239.22,7000000,FEMALE,High School,tech-support,,not-in-family,,30/01/2015,Single Vehicle Collision,Side Collision,Minor Damage,SC,Springfield,1,YES,89700,13800,62100,Audi,A5,2009,Y
64,346002,20/08/1990,OH,250/500,500,835.02,0,FEMALE,Associate,adm-clerical,,unmarried,,02/02/2015,Multi-vehicle Collision,Side Collision,Minor Damage,WV,Hillsdale,3,NO,33930,0,30160,BMW,X6,1998,N
30,500533,11/02/1994,OH,100/300,1000,1061.33,0,MALE,MD,machine-op-inspct,,own-child,,10/01/2015,Single Vehicle Collision,Front Collision,Major Damage,WV,Northbrook,1,NO,68530,12460,49840,Audi,A5,1997,N
49,348209,22/02/1994,IN,500/1000,1000,1279.08,0,MALE,MD,other-service,,own-child,,27/02/2015,Parked Car,?,Minor Damage,NC,Riverwood,1,NO,4300,860,2580,Ford,F150,2004,N
42,486676,15/08/2011,OH,100/300,500,1105.49,0,FEMALE,Associate,prof-specialty,,own-child,,20/02/2015,Multi-vehicle Collision,Side Collision,Major Damage,SC,Hillsdale,2,?,68310,12420,49680,Audi,A3,2003,Y
41,260845,11/11/1998,OH,100/300,2000,1055.53,0,FEMALE,MD,armed-forces,,not-in-family,,08/02/2015,Single Vehicle Collision,Front Collision,Total Loss,WV,Northbrook,1,NO,61290,6810,47670,Honda,Civic,1995,Y
41,657045,04/12/1995,OH,250/500,1000,895.83,0,FEMALE,Associate,sales,,husband,,11/02/2015,Single Vehicle Collision,Rear Collision,Minor Damage,NC,Arlington,1,NO,30100,3010,27090,Chevrolet,Malibu,1999,N
37,761189,28/12/2002,IN,100/300,500,1632.93,0,FEMALE,College,transport-moving,,not-in-family,,23/02/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,SC,Riverwood,3,NO,57120,9520,42840,Mercedes,C300,2002,N
40,175177,15/04/2004,IL,100/300,1000,1405.99,0,FEMALE,Associate,sales,,wife,,01/03/2015,Multi-vehicle Collision,Side Collision,Minor Damage,VA,Springfield,3,YES,42930,9540,28620,BMW,X6,2005,N
35,116700,02/02/2001,OH,100/300,1000,1425.54,0,FEMALE,High School,transport-moving,,other-relative,,15/01/2015,Multi-vehicle Collision,Front Collision,Total Loss,SC,Riverwood,3,NO,51210,11380,34140,Ford,Fusion,2010,N
45,166264,12/01/2010,OH,500/1000,1000,1038.09,0,FEMALE,College,handlers-cleaners,,husband,,14/01/2015,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Springfield,3,NO,89400,14900,67050,Suburu,Legacy,1998,N
47,527945,14/04/1992,IN,250/500,500,1307.11,0,MALE,College,transport-moving,,not-in-family,,17/02/2015,Multi-vehicle Collision,Front Collision,Total Loss,WV,Northbrook,3,NO,59730,10860,38010,Audi,A3,2005,N
39,627540,21/05/2010,OH,500/1000,1000,1489.24,6000000,FEMALE,JD,other-service,,wife,,24/01/2015,Vehicle Theft,?,Minor Damage,SC,Springfield,1,YES,8060,1240,5580,Saab,95,2004,N
38,279422,27/10/2013,OH,500/1000,500,976.67,0,FEMALE,PhD,handlers-cleaners,,unmarried,,21/01/2015,Single Vehicle Collision,Rear Collision,Major Damage,SC,Northbrook,1,?,72200,14440,50540,BMW,M5,2013,Y
31,484200,12/10/1994,OH,250/500,2000,1340.43,0,MALE,High School,exec-managerial,,husband,,19/02/2015,Multi-vehicle Collision,Side Collision,Minor Damage,NC,Arlington,3,NO,50800,10160,30480,Accura,MDX,2005,N
40,645258,04/07/1997,OH,500/1000,2000,1267.81,5000000,FEMALE,Masters,exec-managerial,,wife,,03/01/2015,Vehicle Theft,?,Trivial Damage,NC,Northbrook,1,?,6600,660,4620,Accura,TL,2005,N
29,694662,15/02/2011,IL,250/500,1000,1234.2,6000000,MALE,Masters,other-service,,other-relative,,29/01/2015,Vehicle Theft,?,Minor Damage,NY,Northbrook,1,YES,7500,750,5250,Nissan,Maxima,2002,N
35,960680,21/08/1994,IN,250/500,2000,1318.06,0,MALE,High School,exec-managerial,,wife,,19/01/2015,Vehicle Theft,?,Trivial Damage,VA,Hillsdale,1,NO,6490,1180,4130,Volkswagen,Jetta,2002,N
48,498140,15/05/1997,IN,500/1000,2000,769.95,0,MALE,Masters,prof-specialty,,not-in-family,,19/01/2015,Multi-vehicle Collision,Side Collision,Major Damage,NY,Hillsdale,2,?,60940,5540,44320,Audi,A3,2013,Y
41,498875,26/10/1996,OH,100/300,2000,1514.72,0,MALE,High School,transport-moving,,own-child,,02/02/2015,Multi-vehicle Collision,Front Collision,Major Damage,NY,Northbrook,3,YES,58300,5830,40810,Suburu,Legacy,2007,N
34,798177,04/03/2006,IL,500/1000,1000,873.64,4000000,FEMALE,Associate,priv-house-serv,,husband,,30/01/2015,Multi-vehicle Collision,Front Collision,Minor Damage,SC,Columbus,3,NO,68400,11400,45600,Ford,F150,2007,N
32,614763,02/01/1991,IL,500/1000,500,1612.43,0,FEMALE,MD,other-service,,own-child,,08/01/2015,Single Vehicle Collision,Side Collision,Total Loss,VA,Springfield,1,?,64240,11680,40880,BMW,3 Series,2015,N
36,679370,15/08/1999,IL,500/1000,2000,1318.24,9000000,FEMALE,College,prof-specialty,,not-in-family,,30/01/2015,Parked Car,?,Trivial Damage,WV,Arlington,1,NO,4700,940,3290,Dodge,Neon,2002,N
25,958857,15/01/1992,IN,100/300,1000,1226.83,0,FEMALE,College,exec-managerial,,not-in-family,,07/01/2015,Multi-vehicle Collision,Side Collision,Major Damage,SC,Columbus,3,YES,45120,0,39480,Accura,MDX,2011,Y
29,686816,07/12/1999,OH,250/500,2000,1326.44,5000000,FEMALE,High School,sales,,own-child,,24/02/2015,Multi-vehicle Collision,Front Collision,Total Loss,SC,Arlington,2,YES,66950,10300,46350,Saab,93,1995,N
23,127754,06/06/1993,IL,250/500,2000,1136.83,4000000,FEMALE,Associate,tech-support,,own-child,,02/02/2015,Single Vehicle Collision,Side Collision,Major Damage,NY,Columbus,1,NO,98340,8940,71520,Honda,Accord,2004,Y
42,918629,03/10/2000,IL,250/500,2000,1322.78,0,MALE,PhD,farming-fishing,,own-child,,28/02/2015,Parked Car,?,Trivial Damage,WV,Springfield,1,NO,5900,590,4720,BMW,X5,2007,N
43,731450,29/12/2010,IN,100/300,1000,1483.25,0,FEMALE,MD,exec-managerial,,not-in-family,,09/02/2015,Multi-vehicle Collision,Front Collision,Major Damage,NC,Riverwood,3,NO,70680,5890,53010,Ford,Fusion,2009,N
42,307447,17/03/1990,IL,100/300,500,1515.3,0,FEMALE,High School,machine-op-inspct,,not-in-family,,19/01/2015,Multi-vehicle Collision,Rear Collision,Total Loss,SC,Northbend,3,NO,93720,17040,68160,Mercedes,ML350,2005,N
25,992145,01/03/2012,IL,100/300,2000,1075.18,5000000,FEMALE,PhD,armed-forces,,husband,,21/02/2015,Vehicle Theft,?,Minor Damage,OH,Northbrook,1,NO,6930,1260,5040,Toyota,Highlander,2001,N
47,900628,05/02/2006,IN,500/1000,1000,1690.27,0,FEMALE,Associate,protective-serv,,not-in-family,,14/01/2015,Single Vehicle Collision,Side Collision,Major Damage,VA,Springfield,1,YES,72930,6630,59670,Dodge,RAM,2006,Y
25,235220,01/11/2014,IL,250/500,2000,1352.83,0,MALE,Masters,farming-fishing,,own-child,,22/01/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,SC,Hillsdale,4,YES,64890,7210,50470,Nissan,Pathfinder,2013,Y
48,740019,17/06/2009,OH,250/500,1000,1148.73,0,FEMALE,College,machine-op-inspct,,wife,,22/02/2015,Parked Car,?,Trivial Damage,WV,Columbus,1,?,5400,900,3600,Saab,95,1999,N
42,246882,20/09/1999,IL,100/300,1000,969.5,0,MALE,College,exec-managerial,,not-in-family,,26/01/2015,Vehicle Theft,?,Trivial Damage,NC,Northbrook,1,NO,5600,700,4200,Audi,A3,2007,N
41,797613,19/10/1990,IN,100/300,500,1463.82,0,FEMALE,College,protective-serv,,not-in-family,,24/01/2015,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Northbend,1,YES,79300,15860,47580,Saab,92x,2007,N
27,193442,05/08/1996,IL,100/300,1000,1474.17,0,FEMALE,College,tech-support,,unmarried,,19/02/2015,Single Vehicle Collision,Side Collision,Major Damage,WV,Northbend,1,YES,52800,10560,36960,Saab,95,2004,N
41,389238,06/06/2001,IL,250/500,500,1497.35,0,FEMALE,JD,prof-specialty,,husband,,29/01/2015,Multi-vehicle Collision,Front Collision,Minor Damage,NC,Northbrook,3,?,28800,0,25200,Ford,Fusion,2013,N
33,760179,25/03/2007,OH,100/300,1000,1427.14,0,FEMALE,Associate,tech-support,,other-relative,,15/02/2015,Parked Car,?,Minor Damage,WV,Northbend,1,NO,2970,330,2310,Toyota,Highlander,2008,N
54,939905,31/10/2013,OH,500/1000,500,1495.1,0,MALE,College,other-service,,wife,,12/02/2015,Multi-vehicle Collision,Side Collision,Total Loss,SC,Northbend,3,NO,93480,15580,70110,Chevrolet,Malibu,2014,N
49,872814,13/06/1992,IL,100/300,500,1141.62,0,MALE,College,prof-specialty,,husband,,01/01/2015,Vehicle Theft,?,Minor Damage,WV,Columbus,1,YES,4320,480,3360,Mercedes,E400,2002,N
61,632627,07/10/1990,OH,500/1000,1000,1125.37,0,FEMALE,Associate,prof-specialty,,husband,,13/01/2015,Multi-vehicle Collision,Rear Collision,Major Damage,VA,Northbend,3,?,79800,6650,53200,Saab,95,2000,Y
28,283414,28/12/1991,IN,500/1000,2000,1207.36,0,FEMALE,High School,handlers-cleaners,,own-child,,01/03/2015,Multi-vehicle Collision,Front Collision,Major Damage,WV,Columbus,2,NO,74200,7420,51940,Volkswagen,Passat,1997,N
47,163161,11/11/1998,IL,500/1000,2000,1338.5,0,FEMALE,PhD,machine-op-inspct,,other-relative,,02/02/2015,Single Vehicle Collision,Front Collision,Major Damage,NY,Northbrook,1,?,70590,10860,48870,Saab,93,2000,Y
31,853360,26/06/2009,IN,500/1000,1000,1074.07,0,FEMALE,Masters,sales,,husband,,27/01/2015,Multi-vehicle Collision,Rear Collision,Major Damage,NY,Springfield,3,NO,60940,5540,44320,Nissan,Ultima,2006,Y
42,776860,11/01/2009,OH,250/500,500,1337.56,0,FEMALE,College,prof-specialty,,unmarried,,12/01/2015,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Riverwood,1,?,74700,7470,52290,Dodge,RAM,2010,N
60,149367,18/03/2003,IN,100/300,500,1298.91,6000000,MALE,PhD,craft-repair,,unmarried,,06/01/2015,Single Vehicle Collision,Front Collision,Major Damage,NC,Springfield,1,YES,70000,14000,49000,Ford,F150,2015,Y
41,395269,02/11/2012,IL,500/1000,500,1222.75,0,MALE,High School,exec-managerial,,other-relative,,30/01/2015,Multi-vehicle Collision,Rear Collision,Total Loss,WV,Columbus,3,?,81070,14740,51590,BMW,X5,2001,N
32,981123,04/05/2000,IN,100/300,1000,1059.52,0,MALE,MD,protective-serv,,own-child,,01/03/2015,Multi-vehicle Collision,Side Collision,Major Damage,VA,Hillsdale,2,?,57720,14430,33670,Saab,93,2007,N
51,143626,29/09/1999,OH,250/500,2000,1124.38,0,MALE,Associate,armed-forces,,other-relative,,24/02/2015,Vehicle Theft,?,Minor Damage,VA,Northbrook,1,YES,7080,1180,4720,Ford,F150,2001,N
46,648397,09/03/1999,IN,100/300,1000,1110.37,10000000,MALE,MD,machine-op-inspct,,other-relative,,24/01/2015,Multi-vehicle Collision,Side Collision,Total Loss,NY,Riverwood,3,NO,47700,4770,33390,Accura,MDX,1997,Y
31,154982,13/02/1991,IL,500/1000,2000,1374.22,0,FEMALE,PhD,machine-op-inspct,,other-relative,,26/02/2015,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Hillsdale,1,NO,51260,9320,32620,Suburu,Legacy,2002,N
